EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
12562,Iduna rama,02/06/2008,S.W.,Hippolais caligata rama,25860
12570,Hippolais languida,02/06/2008,,Hippolais languida,25875
12580,Hippolais olivetorum,02/06/2008,,Hippolais olivetorum,25878
12590,Hippolais icterina,02/06/2008,,Hippolais icterina,25880
12600,Hippolais polyglotta,02/06/2008,,Hippolais polyglotta,25879
12609,Hippolais/Iduna sp.,02/06/2008,,Hippolais sp.,NA
12610,Curruca sarda,02/06/2008,,Sylvia sarda,26937
12611,Curruca sarda sarda,02/06/2008,,Sylvia sarda sarda,NA
12612,Curruca balearica,02/06/2008,,Sylvia sarda balearica,26943
12620,Curruca undata,02/06/2008,,Sylvia undata,26939
12630,Curruca deserticola,02/06/2008,,Sylvia deserticola,26902
12640,Curruca conspicillata,02/06/2008,,Sylvia conspicillata,26933
12650,Curruca cantillans/iberiae/subalpina,02/06/2008,,Sylvia cantillans,NA
12651,Curruca cantillans cantillans,18/08/2020,Eastern Subalpine Warbler,Sylvia cantillans cantillans,26926
12652,Curruca subalpina,18/08/2020,now Sylvia subalpina,Sylvia cantillans moltoni,26921
12653,Curruca cantillans albistriata,18/08/2020,,Sylvia cantillans albistriata,26927
12654,Curruca cantillans iberiae,18/08/2020,,Sylvia cantillans iberiae,NA
12655,Curruca cantillans inornata,18/08/2020,,Sylvia cantillans inornata,NA
12660,Curruca mystacea,02/06/2008,,Sylvia mystacea,26906
12670,Curruca melanocephala,02/06/2008,,Sylvia melanocephala,26912
12671,Curruca melanocephala melanocephala,02/06/2008,,Sylvia melanocephala melanocephala,26913
12672,Curruca melanocephala leucogastra,02/06/2008,,Sylvia melanocephala leucogastra,26915
12680,Curruca melanothorax,02/06/2008,,Sylvia melanothorax,26911
12681,Obsolete code,02/06/2008,Subspecies not recognised ? use 12680,Sylvia melanothorax melanothorax,NA
12682,Obsolete code,02/06/2008,Subspecies not recognised ? use 12680,Sylvia melanothorax cypria,NA
12690,Curruca ruppeli,02/06/2008,,Sylvia rueppelli,26910
12700,Curruca nana,02/06/2008,,Sylvia nana,26900
